case,dialect,size,patches,run,input_bytes,output_bytes,parse_seconds,construct_seconds,apply_seconds,json_seconds,deparse_seconds,max_rss_kib,full_parse_calls,handle_clone_calls,deparse_calls,arguments
oracle_values,oracle,50,5,1,27530,27528,0.004638,0.009694,0.030310,0.019748,0.000030,6852,5,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 5
oracle_values,oracle,50,5,2,27530,27528,0.004556,0.009625,0.030291,0.019760,0.000029,6852,5,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 5
oracle_values,oracle,50,5,3,27530,27528,0.004432,0.009454,0.029444,0.019260,0.000029,6852,5,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 5
oracle_values,oracle,50,50,1,27530,27510,0.004496,0.009325,0.280384,0.019443,0.000035,6852,50,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 50
oracle_values,oracle,50,50,2,27530,27510,0.004378,0.009333,0.282998,0.019419,0.000034,6848,50,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 50
oracle_values,oracle,50,50,3,27530,27510,0.004644,0.009694,0.286255,0.019995,0.000034,6848,50,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 50
oracle_values,oracle,50,125,1,27530,27480,0.004458,0.009524,0.711916,0.020084,0.000039,6848,125,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 125
oracle_values,oracle,50,125,2,27530,27480,0.004607,0.009721,0.710027,0.019930,0.000040,6852,125,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 125
oracle_values,oracle,50,125,3,27530,27480,0.004529,0.009609,0.711213,0.019984,0.000050,6852,125,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 125
oracle_values,oracle,50,250,1,27530,27430,0.004508,0.009390,1.394223,0.019556,0.000041,6840,250,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 250
oracle_values,oracle,50,250,2,27530,27430,0.004435,0.009377,1.396612,0.019548,0.000043,6840,250,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 250
oracle_values,oracle,50,250,3,27530,27430,0.004443,0.009324,1.392180,0.019760,0.000043,6836,250,2,2,--fixture tests/cases/patch_batch_oracle_insert_all.sql 250
multi_all,oracle,50,50,1,1257,1597,0.000640,,0.019183,0.001657,0.000029,2504,50,2,2,--profile multi_all oracle 50 50
multi_all,oracle,50,50,2,1257,1597,0.000593,,0.019183,0.001642,0.000037,2504,50,2,2,--profile multi_all oracle 50 50
multi_all,oracle,50,50,3,1257,1597,0.000630,,0.019044,0.001675,0.000030,2508,50,2,2,--profile multi_all oracle 50 50
multi_first,oracle,50,50,1,1273,1613,0.000670,,0.019655,0.001792,0.000029,batch-profile,50,2,2,--profile multi_first oracle 50 50
multi_first,oracle,50,50,2,1273,1613,0.000644,,0.019621,0.001760,0.000030,2528,50,2,2,--profile multi_first oracle 50 50
multi_first,oracle,50,50,3,1273,1613,0.000603,,0.019747,0.001707,0.000036,2532,50,2,2,--profile multi_first oracle 50 50
multi_raw,oracle,50,50,1,1257,1597,0.000636,,0.019183,0.001643,0.000028,2500,50,2,2,--profile multi_raw oracle 50 50
multi_raw,oracle,50,50,2,1257,1597,0.000594,,0.019076,0.001596,0.000034,2496,50,2,2,--profile multi_raw oracle 50 50
multi_raw,oracle,50,50,3,1257,1597,0.000599,,0.019080,0.001624,0.000030,2500,50,2,2,--profile multi_raw oracle 50 50
multi_bind,oracle,50,50,1,1257,1198,0.000651,,0.019756,0.001681,0.000028,2460,50,2,2,--profile multi_bind oracle 50 50
multi_bind,oracle,50,50,2,1257,1198,0.000623,,0.019620,0.001667,0.000028,2460,50,2,2,--profile multi_bind oracle 50 50
multi_bind,oracle,50,50,3,1257,1198,0.000682,,0.019668,0.001660,0.000040,2460,50,2,2,--profile multi_bind oracle 50 50
multi_copy,oracle,50,50,1,1257,1407,0.000668,,0.018878,0.001614,0.000028,2500,50,2,2,--profile multi_copy oracle 50 50
multi_copy,oracle,50,50,2,1257,1407,0.000633,,0.018690,0.001654,0.000030,2496,50,2,2,--profile multi_copy oracle 50 50
multi_copy,oracle,50,50,3,1257,1407,0.000586,,0.018636,0.001614,0.000029,2500,50,2,2,--profile multi_copy oracle 50 50
multi_comment_all,oracle,50,50,1,1287,1627,0.000666,,0.019492,0.001665,0.000030,2520,50,2,2,--profile multi_comment_all oracle 50 50
multi_comment_all,oracle,50,50,2,1287,1627,0.000637,,0.019258,0.001675,0.000029,2524,50,2,2,--profile multi_comment_all oracle 50 50
multi_comment_all,oracle,50,50,3,1287,1627,0.000696,,0.019252,0.001650,0.000029,2520,50,2,2,--profile multi_comment_all oracle 50 50
multi_all,dameng,50,50,1,1257,1699,0.000646,,0.002182,0.001647,0.000027,2724,1,2,4,--profile multi_all dameng 50 50
multi_all,dameng,50,50,2,1257,1699,0.000597,,0.002192,0.001620,0.000026,2720,1,2,4,--profile multi_all dameng 50 50
multi_all,dameng,50,50,3,1257,1699,0.000669,,0.002134,0.001630,0.000026,2728,1,2,4,--profile multi_all dameng 50 50
multi_comment_all,dameng,50,50,1,1287,1627,0.000658,,0.018039,0.001588,0.000030,2576,50,2,2,--profile multi_comment_all dameng 50 50
multi_comment_all,dameng,50,50,2,1287,1627,0.000675,,0.018318,0.001593,0.000030,2576,50,2,2,--profile multi_comment_all dameng 50 50
multi_comment_all,dameng,50,50,3,1287,1627,0.000681,,0.018277,0.001636,0.000030,2576,50,2,2,--profile multi_comment_all dameng 50 50
multi_comment_first,dameng,50,50,1,1303,1643,0.000689,,0.019179,0.001711,0.000036,2596,50,2,2,--profile multi_comment_first dameng 50 50
multi_comment_first,dameng,50,50,2,1303,1643,0.000627,,0.019027,0.001683,0.000030,2596,50,2,2,--profile multi_comment_first dameng 50 50
multi_comment_first,dameng,50,50,3,1303,1643,0.000685,,0.019063,0.001720,0.000030,2600,50,2,2,--profile multi_comment_first dameng 50 50
multi_raw,dameng,50,50,1,1257,1699,0.000628,,0.053262,0.001327,0.000577,2724,50,2,52,--profile multi_raw dameng 50 50
multi_raw,dameng,50,50,2,1257,1699,0.000595,,0.053218,0.001284,0.000597,2720,50,2,52,--profile multi_raw dameng 50 50
multi_raw,dameng,50,50,3,1257,1699,0.000649,,0.052533,0.001285,0.000581,2720,50,2,52,--profile multi_raw dameng 50 50
insert_copy,postgresql,250,50,1,2677,2827,0.002593,,0.194011,0.004505,0.000063,3068,49,1,0,--profile insert_copy postgresql 250 50
insert_copy,postgresql,250,50,2,2677,2827,0.002709,,0.198447,0.004585,0.000065,3068,49,1,0,--profile insert_copy postgresql 250 50
insert_copy,postgresql,250,50,3,2677,2827,0.002623,,0.193521,0.004527,0.000061,3068,49,1,0,--profile insert_copy postgresql 250 50
insert_copy,postgresql,250,125,1,2677,3052,0.002597,,0.484564,0.004533,0.000061,3068,124,1,0,--profile insert_copy postgresql 250 125
insert_copy,postgresql,250,125,2,2677,3052,0.002589,,0.483621,0.004548,0.000061,3064,124,1,0,--profile insert_copy postgresql 250 125
insert_copy,postgresql,250,125,3,2677,3052,0.002636,,0.487816,0.004511,0.000059,3068,124,1,0,--profile insert_copy postgresql 250 125
insert_copy,postgresql,250,250,1,2677,3427,0.002628,,0.971023,0.004543,0.000061,3072,249,1,0,--profile insert_copy postgresql 250 250
insert_copy,postgresql,250,250,2,2677,3427,0.002655,,0.970879,0.004540,0.000060,3072,249,1,0,--profile insert_copy postgresql 250 250
insert_copy,postgresql,250,250,3,2677,3427,0.002599,,0.971265,0.004531,0.000060,3072,249,1,0,--profile insert_copy postgresql 250 250
insert_copy,postgresql,50,50,1,526,676,0.000781,,0.044610,0.001149,0.000003,2024,49,1,0,--profile insert_copy postgresql 50 50
insert_copy,postgresql,50,50,2,526,676,0.000764,,0.043345,0.001081,0.000002,2024,49,1,0,--profile insert_copy postgresql 50 50
insert_copy,postgresql,50,50,3,526,676,0.000805,,0.041948,0.001043,0.000003,2024,49,1,0,--profile insert_copy postgresql 50 50
insert_copy,postgresql,500,50,1,5427,5577,0.004887,,0.392054,0.009331,0.000027,4228,49,1,0,--profile insert_copy postgresql 500 50
insert_copy,postgresql,500,50,2,5427,5577,0.005493,,0.406432,0.009393,0.000029,4224,49,1,0,--profile insert_copy postgresql 500 50
insert_copy,postgresql,500,50,3,5427,5577,0.004873,,0.384319,0.009209,0.000027,4228,49,1,0,--profile insert_copy postgresql 500 50
insert_copy,mysql,250,250,1,2677,3427,0.003924,,1.487184,0.004515,0.000061,3160,249,1,0,--profile insert_copy mysql 250 250
insert_copy,mysql,250,250,2,2677,3427,0.003842,,1.495143,0.004624,0.000060,3160,249,1,0,--profile insert_copy mysql 250 250
insert_copy,mysql,250,250,3,2677,3427,0.003862,,1.467530,0.004495,0.000060,3164,249,1,0,--profile insert_copy mysql 250 250
insert_copy,sqlserver,250,250,1,2677,3427,0.005852,,1.909358,0.004596,0.000063,3216,249,1,0,--profile insert_copy sqlserver 250 250
insert_copy,sqlserver,250,250,2,2677,3427,0.005773,,1.899373,0.004581,0.000062,3216,249,1,0,--profile insert_copy sqlserver 250 250
insert_copy,sqlserver,250,250,3,2677,3427,0.005781,,1.894272,0.004614,0.000063,3220,249,1,0,--profile insert_copy sqlserver 250 250
expr_literal,postgresql,100,100,1,3154,3844,0.004044,,0.019956,0.020954,0.000024,4808,1,1,0,--profile expr_literal postgresql 100 100
expr_literal,postgresql,100,100,2,3154,3844,0.003983,,0.019701,0.020973,0.000024,4808,1,1,0,--profile expr_literal postgresql 100 100
expr_literal,postgresql,100,100,3,3154,3844,0.004027,,0.019627,0.020645,0.000024,4808,1,1,0,--profile expr_literal postgresql 100 100
expr_raw,postgresql,100,20,1,3154,3284,0.003906,,0.336587,0.020842,0.000022,4804,20,1,0,--profile expr_raw postgresql 100 20
expr_raw,postgresql,100,20,2,3154,3284,0.003922,,0.330299,0.020470,0.000022,4800,20,1,0,--profile expr_raw postgresql 100 20
expr_raw,postgresql,100,20,3,3154,3284,0.003910,,0.329128,0.020388,0.000022,4804,20,1,0,--profile expr_raw postgresql 100 20
expr_raw,postgresql,100,50,1,3154,3494,0.003942,,0.832826,0.020538,0.000023,4808,50,1,0,--profile expr_raw postgresql 100 50
expr_raw,postgresql,100,50,2,3154,3494,0.003988,,0.825801,0.020363,0.000023,4804,50,1,0,--profile expr_raw postgresql 100 50
expr_raw,postgresql,100,50,3,3154,3494,0.003839,,0.825910,0.020279,0.000023,4804,50,1,0,--profile expr_raw postgresql 100 50
expr_raw,postgresql,100,100,1,3154,3844,0.003929,,1.650611,0.020348,0.000023,4804,100,1,0,--profile expr_raw postgresql 100 100
expr_raw,postgresql,100,100,2,3154,3844,0.003988,,1.679751,0.020693,0.000023,4804,100,1,0,--profile expr_raw postgresql 100 100
expr_raw,postgresql,100,100,3,3154,3844,0.004031,,1.673900,0.020622,0.000023,4800,100,1,0,--profile expr_raw postgresql 100 100
expr_float,oracle,100,100,1,3154,3054,0.006415,,2.131928,0.023383,0.000022,4884,100,1,0,--profile expr_float oracle 100 100
expr_float,oracle,100,100,2,3154,3054,0.006437,,2.128255,0.023236,0.000022,4884,100,1,0,--profile expr_float oracle 100 100
expr_float,oracle,100,100,3,3154,3054,0.006316,,2.111092,0.023100,0.000022,4880,100,1,0,--profile expr_float oracle 100 100
expr_bind,postgresql,100,100,1,3154,2946,0.003949,,2.030729,0.024792,0.000021,4844,100,1,0,--profile expr_bind postgresql 100 100
expr_bind,postgresql,100,100,2,3154,2946,0.003947,,2.032109,0.024819,0.000031,4844,100,1,0,--profile expr_bind postgresql 100 100
expr_bind,postgresql,100,100,3,3154,2946,0.004034,,2.053772,0.024924,0.000020,4848,100,1,0,--profile expr_bind postgresql 100 100
expr_bind,mysql,100,100,1,3154,2754,0.005514,,2.467897,0.027226,0.000020,4952,100,1,0,--profile expr_bind mysql 100 100
expr_bind,mysql,100,100,2,3154,2754,0.005544,,2.503892,0.028372,0.000021,4952,100,1,0,--profile expr_bind mysql 100 100
expr_bind,mysql,100,100,3,3154,2754,0.005575,,2.493222,0.027346,0.000020,4956,100,1,0,--profile expr_bind mysql 100 100
expr_field,oracle,100,100,1,2754,3844,0.006533,,2.099220,0.022098,0.000024,4680,100,1,0,--profile expr_field oracle 100 100
expr_field,oracle,100,100,2,2754,3844,0.006652,,2.100289,0.021856,0.000023,4676,100,1,0,--profile expr_field oracle 100 100
expr_field,oracle,100,100,3,2754,3844,0.006497,,2.070392,0.021617,0.000023,4676,100,1,0,--profile expr_field oracle 100 100
expr_whole,postgresql,100,100,1,3154,3844,0.004036,,1.689242,0.020438,0.000023,4812,100,1,0,--profile expr_whole postgresql 100 100
