case,dialect,patches,input_bytes,output_bytes,full_parse_calls,handle_clone_calls,deparse_calls
insert_cell,postgresql,6,89,125,0,1,0
insert_copy,postgresql,6,89,107,5,1,0
update_literal,postgresql,6,90,126,0,1,0
where_literal,postgresql,6,97,133,1,1,0
select_target,postgresql,6,50,91,0,1,0
merge_cell,postgresql,6,139,175,0,1,0
expr_literal,postgresql,6,240,276,1,1,0
expr_raw,postgresql,6,240,276,6,1,0
expr_float,postgresql,6,240,234,6,1,0
expr_bind,postgresql,6,240,222,6,1,0
expr_field,postgresql,6,216,276,6,1,0
expr_whole,postgresql,6,240,276,6,1,0
expr_insert,postgresql,6,282,354,6,1,0
expr_delete,postgresql,6,282,246,6,1,0
expr_repeat,postgresql,6,240,246,6,1,0
mixed_update_expr,postgresql,6,136,172,6,1,0
insert_cell,mysql,6,89,125,0,1,0
insert_copy,mysql,6,89,107,5,1,0
update_literal,mysql,6,90,126,0,1,0
where_literal,mysql,6,97,133,1,1,0
select_target,mysql,6,50,91,0,1,0
expr_literal,mysql,6,240,276,1,1,0
expr_raw,mysql,6,240,276,6,1,0
expr_float,mysql,6,240,234,6,1,0
expr_bind,mysql,6,240,216,6,1,0
expr_field,mysql,6,216,276,6,1,0
expr_whole,mysql,6,240,276,6,1,0
expr_insert,mysql,6,282,354,6,1,0
expr_delete,mysql,6,282,246,6,1,0
expr_repeat,mysql,6,240,246,6,1,0
mixed_update_expr,mysql,6,136,172,6,1,0
insert_cell,oracle,6,89,125,0,1,0
insert_copy,oracle,6,89,107,5,1,0
update_literal,oracle,6,90,126,0,1,0
where_literal,oracle,6,97,133,1,1,0
select_target,oracle,6,50,91,0,1,0
merge_cell,oracle,6,139,175,0,1,0
expr_literal,oracle,6,240,276,1,1,0
expr_raw,oracle,6,240,276,6,1,0
expr_float,oracle,6,240,234,6,1,0
expr_bind,oracle,6,240,228,6,1,0
expr_field,oracle,6,216,276,6,1,0
expr_whole,oracle,6,240,276,6,1,0
expr_insert,oracle,6,282,354,6,1,0
expr_delete,oracle,6,282,246,6,1,0
expr_repeat,oracle,6,240,246,6,1,0
mixed_update_expr,oracle,6,136,172,6,1,0
multi_all,oracle,6,201,237,6,2,2
multi_first,oracle,6,217,253,6,2,2
multi_raw,oracle,6,201,237,6,2,2
multi_float,oracle,6,201,195,6,2,2
multi_bind,oracle,6,201,189,6,2,2
multi_copy,oracle,6,201,219,6,2,2
multi_comment_all,oracle,6,231,267,6,2,2
multi_comment_first,oracle,6,247,283,6,2,2
insert_cell,sqlserver,6,89,125,0,1,0
insert_copy,sqlserver,6,89,107,5,1,0
update_literal,sqlserver,6,90,148,0,1,0
where_literal,sqlserver,6,97,145,1,1,1
select_target,sqlserver,6,50,91,0,1,0
merge_cell,sqlserver,6,139,175,0,1,0
expr_literal,sqlserver,6,240,276,1,1,0
expr_raw,sqlserver,6,240,276,6,1,0
expr_float,sqlserver,6,240,234,6,1,0
expr_bind,sqlserver,6,240,228,6,1,0
expr_field,sqlserver,6,216,276,6,1,0
expr_whole,sqlserver,6,240,276,6,1,0
expr_insert,sqlserver,6,282,354,6,1,0
expr_delete,sqlserver,6,282,246,6,1,0
expr_repeat,sqlserver,6,240,246,6,1,0
mixed_update_expr,sqlserver,6,136,183,6,1,3
insert_cell,dameng,6,89,125,0,1,0
insert_copy,dameng,6,89,107,5,1,0
update_literal,dameng,6,90,126,0,1,0
where_literal,dameng,6,97,133,1,1,0
select_target,dameng,6,50,91,0,1,0
merge_cell,dameng,6,139,175,0,1,0
expr_literal,dameng,6,240,276,1,1,0
expr_raw,dameng,6,240,276,6,1,0
expr_float,dameng,6,240,234,6,1,0
expr_bind,dameng,6,240,228,6,1,0
expr_field,dameng,6,216,276,6,1,0
expr_whole,dameng,6,240,276,6,1,0
expr_insert,dameng,6,282,354,6,1,0
expr_delete,dameng,6,282,246,6,1,0
expr_repeat,dameng,6,240,246,6,1,0
mixed_update_expr,dameng,6,136,172,6,1,0
multi_all,dameng,6,201,251,1,2,4
multi_first,dameng,6,217,267,1,2,4
multi_raw,dameng,6,201,251,6,2,8
multi_float,dameng,6,201,209,6,2,8
multi_bind,dameng,6,201,203,1,2,4
multi_copy,dameng,6,201,233,1,2,4
multi_comment_all,dameng,6,231,267,6,2,2
multi_comment_first,dameng,6,247,283,6,2,2
insert_cell,vastbase-oracle,6,89,125,0,1,0
insert_copy,vastbase-oracle,6,89,107,5,1,0
update_literal,vastbase-oracle,6,90,126,0,1,0
where_literal,vastbase-oracle,6,97,133,1,1,0
select_target,vastbase-oracle,6,50,91,0,1,0
merge_cell,vastbase-oracle,6,139,175,0,1,0
expr_literal,vastbase-oracle,6,240,276,1,1,0
expr_raw,vastbase-oracle,6,240,276,6,1,0
expr_float,vastbase-oracle,6,240,234,6,1,0
expr_bind,vastbase-oracle,6,240,228,6,1,0
expr_field,vastbase-oracle,6,216,276,6,1,0
expr_whole,vastbase-oracle,6,240,276,6,1,0
expr_insert,vastbase-oracle,6,282,354,6,1,0
expr_delete,vastbase-oracle,6,282,246,6,1,0
expr_repeat,vastbase-oracle,6,240,246,6,1,0
mixed_update_expr,vastbase-oracle,6,136,172,6,1,0
multi_all,vastbase-oracle,6,201,237,6,2,2
multi_first,vastbase-oracle,6,217,253,6,2,2
multi_raw,vastbase-oracle,6,201,237,6,2,2
multi_float,vastbase-oracle,6,201,195,6,2,2
multi_bind,vastbase-oracle,6,201,189,6,2,2
multi_copy,vastbase-oracle,6,201,219,6,2,2
multi_comment_all,vastbase-oracle,6,231,267,6,2,2
multi_comment_first,vastbase-oracle,6,247,283,6,2,2
insert_cell,vastbase-mysql,6,89,125,0,1,0
insert_copy,vastbase-mysql,6,89,107,5,1,0
update_literal,vastbase-mysql,6,90,126,0,1,0
where_literal,vastbase-mysql,6,97,133,1,1,0
select_target,vastbase-mysql,6,50,91,0,1,0
expr_literal,vastbase-mysql,6,240,276,1,1,0
expr_raw,vastbase-mysql,6,240,276,6,1,0
expr_float,vastbase-mysql,6,240,234,6,1,0
expr_bind,vastbase-mysql,6,240,216,6,1,0
expr_field,vastbase-mysql,6,216,276,6,1,0
expr_whole,vastbase-mysql,6,240,276,6,1,0
expr_insert,vastbase-mysql,6,282,354,6,1,0
expr_delete,vastbase-mysql,6,282,246,6,1,0
expr_repeat,vastbase-mysql,6,240,246,6,1,0
mixed_update_expr,vastbase-mysql,6,136,172,6,1,0
insert_cell,vastbase-postgresql,6,89,125,0,1,0
insert_copy,vastbase-postgresql,6,89,107,5,1,0
