mode,workload,target_sql_bytes,repeat_count,actual_sql_bytes,iterations,warmup,total_operations,ok_operations,error_operations,wall_total_s,throughput_ops_s,avg_us,min_us,p50_us,p95_us,p99_us,max_us,avg_alloc_bytes,p50_alloc_bytes,p95_alloc_bytes,max_alloc_bytes,avg_peak_live_bytes,p50_peak_live_bytes,p95_peak_live_bytes,max_peak_live_bytes,avg_retained_bytes,p50_retained_bytes,p95_retained_bytes,max_retained_bytes,error_message
native-summary,insert-values,1024,3,1024,2000,200,2000,2000,0,0.13447434,14872.7259,67.1086,65.943,66.245,71.731,77.108,124.466,24637.0,24637,24637,24637,24637.0,24637,24637,24637,61.0,61,61,61,
native-summary,insert-values,8192,3,8192,1000,100,1000,1000,0,0.467023701,2141.219,466.8822,458.21,465.356,479.21,492.82,964.346,131189.0,131189,131189,131189,131128.0,131128,131128,131128,61.0,61,61,61,
native-summary,insert-values,65536,3,65536,300,30,300,300,0,0.99711237,300.8688,3323.4851,3290.863,3312.491,3351.968,3385.864,3457.098,1155285.0,1155285,1155285,1155285,1138792.0,1138792,1138792,1138792,61.0,61,61,61,
native-deparse,insert-values,1024,3,1024,2000,200,2000,2000,0,1.336422455,1496.5328,287.4326,281.396,282.88,296.228,310.434,1764.834,156757.0,156757,156757,156757,122880.0,122880,122880,122880,0.0,0,0,0,
native-deparse,insert-values,8192,3,8192,1000,100,1000,1000,0,5.033464092,198.6703,2202.436,2177.613,2196.194,2228.675,2261.688,3915.648,1295919.0,1295919,1295919,1295919,1056816.0,1056816,1056816,1056816,0.0,0,0,0,
native-deparse,insert-values,65536,3,65536,300,30,300,300,0,11.405115139,26.304,17438.9912,17301.138,17397.609,17580.863,18210.488,19623.787,10472392.0,10472392,10472392,10472392,8544352.0,8544352,8544352,8544352,0.0,0,0,0,
sqlparser-parse-tree-json,insert-values,1024,3,1024,2000,200,2000,2000,0,1.157470828,1727.9053,147.2762,144.523,145.369,152.052,160.331,223.129,90616.0,90616,90616,90616,73776.0,73776,73776,73776,16840.0,16840,16840,16840,
sqlparser-parse-tree-json,insert-values,8192,3,8192,1000,100,1000,1000,0,4.249006164,235.3492,1110.2788,1070.768,1098.632,1206.459,1233.422,1291.211,370004.0,370004,370004,370004,188464.0,188464,188464,188464,124044.0,124044,124044,124044,
sqlparser-parse-tree-json,insert-values,65536,3,65536,300,30,300,300,0,9.134520243,32.8424,8265.9457,8205.28,8257.45,8324.195,8487.65,10321.831,3107772.0,3107772,3107772,3107772,1597536.0,1597536,1597536,1597536,920068.0,920068,920068,920068,
sqlparser-summary-json,insert-values,1024,3,1024,2000,200,2000,2000,0,3.711708687,538.8354,1392.4938,1374.918,1388.353,1413.837,1438.943,3247.313,177972.0,177972,177972,177972,77947.0,77947,77947,77947,12591.0,12591,12591,12591,
sqlparser-summary-json,insert-values,8192,3,8192,1000,100,1000,1000,0,13.594570374,73.5588,10146.2688,10066.231,10129.206,10220.04,10418.096,12037.816,956078.0,956078,956078,956078,365137.0,365137,365137,365137,92605.0,92605,92605,92605,
sqlparser-summary-json,insert-values,65536,3,65536,300,30,300,300,0,29.764069831,10.0793,74139.36,73715.649,74009.33,75244.123,76178.23,77335.158,7662268.0,7662268,7662268,7662268,2786574.0,2786574,2786574,2786574,712090.0,712090,712090,712090,
sqlparser-deparse,insert-values,1024,3,1024,2000,200,2000,2000,0,1.484257284,1347.4753,305.2635,298.512,301.172,315.074,326.986,1626.383,157782.0,157782,157782,157782,122880.0,122880,122880,122880,1025.0,1025,1025,1025,
sqlparser-deparse,insert-values,8192,3,8192,1000,100,1000,1000,0,5.396249877,185.3139,2240.6241,2217.456,2234.333,2268.87,2324.807,3992.84,1304112.0,1304112,1304112,1304112,1056816.0,1056816,1056816,1056816,8193.0,8193,8193,8193,
sqlparser-deparse,insert-values,65536,3,65536,300,30,300,300,0,12.03185923,24.9338,17795.0546,17643.868,17752.905,17939.904,18056.448,19834.757,10537929.0,10537929,10537929,10537929,8544352.0,8544352,8544352,8544352,65537.0,65537,65537,65537,
