series,repeat_index,mode,workload,target_sql_bytes,actual_sql_bytes,iterations,warmup,total_operations,ok_operations,error_operations,wall_total_s,throughput_ops_s,avg_us,min_us,p50_us,p95_us,p99_us,max_us,avg_alloc_bytes,p50_alloc_bytes,p95_alloc_bytes,max_alloc_bytes,avg_peak_live_bytes,p50_peak_live_bytes,p95_peak_live_bytes,max_peak_live_bytes,avg_retained_bytes,p50_retained_bytes,p95_retained_bytes,max_retained_bytes,error_message
single_call_api,1,native-summary,insert-values,1024,1024,2000,200,2000,2000,0,0.135755164,14732.4046,67.748,66.362,66.857,72.613,77.192,125.422,24637.0,24637,24637,24637,24637.0,24637,24637,24637,61.0,61,61,61,
single_call_api,2,native-summary,insert-values,1024,1024,2000,200,2000,2000,0,0.132568312,15086.5616,66.158,64.975,65.374,70.95,74.315,96.005,24637.0,24637,24637,24637,24637.0,24637,24637,24637,61.0,61,61,61,
single_call_api,3,native-summary,insert-values,1024,1024,2000,200,2000,2000,0,0.13447434,14872.7259,67.1086,65.943,66.245,71.731,77.108,124.466,24637.0,24637,24637,24637,24637.0,24637,24637,24637,61.0,61,61,61,
single_call_api,1,native-deparse,insert-values,1024,1024,2000,200,2000,2000,0,1.334433026,1498.7639,286.8349,281.396,282.625,296.733,313.227,398.285,156757.0,156757,156757,156757,122880.0,122880,122880,122880,0.0,0,0,0,
single_call_api,2,native-deparse,insert-values,1024,1024,2000,200,2000,2000,0,1.336422455,1496.5328,287.4326,281.026,282.88,295.907,307.493,1764.834,156757.0,156757,156757,156757,122880.0,122880,122880,122880,0.0,0,0,0,
single_call_api,3,native-deparse,insert-values,1024,1024,2000,200,2000,2000,0,1.339074613,1493.5688,288.8409,282.124,283.875,296.228,310.434,2313.758,156757.0,156757,156757,156757,122880.0,122880,122880,122880,0.0,0,0,0,
single_call_api,1,sqlparser-parse-tree-json,insert-values,1024,1024,2000,200,2000,2000,0,1.157470828,1727.9053,147.6465,145.143,145.831,152.185,159.433,223.129,90616.0,90616,90616,90616,73776.0,73776,73776,73776,16840.0,16840,16840,16840,
single_call_api,2,sqlparser-parse-tree-json,insert-values,1024,1024,2000,200,2000,2000,0,1.159262279,1725.2351,147.2762,144.523,145.369,152.052,160.507,208.112,90616.0,90616,90616,90616,73776.0,73776,73776,73776,16840.0,16840,16840,16840,
single_call_api,3,sqlparser-parse-tree-json,insert-values,1024,1024,2000,200,2000,2000,0,1.153960825,1733.1611,146.1327,143.297,144.15,150.461,160.331,299.558,90616.0,90616,90616,90616,73776.0,73776,73776,73776,16840.0,16840,16840,16840,
single_call_api,1,sqlparser-summary-json,insert-values,1024,1024,2000,200,2000,2000,0,3.711708687,538.8354,1394.1616,1376.29,1389.819,1413.295,1443.578,3610.628,177972.0,177972,177972,177972,77947.0,77947,77947,77947,12591.0,12591,12591,12591,
single_call_api,2,sqlparser-summary-json,insert-values,1024,1024,2000,200,2000,2000,0,3.708597231,539.2875,1392.3834,1374.587,1387.972,1416.51,1438.943,2914.148,177972.0,177972,177972,177972,77947.0,77947,77947,77947,12591.0,12591,12591,12591,
single_call_api,3,sqlparser-summary-json,insert-values,1024,1024,2000,200,2000,2000,0,3.714642953,538.4098,1392.4938,1374.918,1388.353,1413.837,1435.508,3247.313,177972.0,177972,177972,177972,77947.0,77947,77947,77947,12591.0,12591,12591,12591,
single_call_api,1,sqlparser-deparse,insert-values,1024,1024,2000,200,2000,2000,0,1.484257284,1347.4753,305.4381,298.432,301.136,315.074,325.405,1626.383,157782.0,157782,157782,157782,122880.0,122880,122880,122880,1025.0,1025,1025,1025,
single_call_api,2,sqlparser-deparse,insert-values,1024,1024,2000,200,2000,2000,0,1.484386967,1347.3576,305.2635,298.512,301.172,314.207,326.986,1761.567,157782.0,157782,157782,157782,122880.0,122880,122880,122880,1025.0,1025,1025,1025,
single_call_api,3,sqlparser-deparse,insert-values,1024,1024,2000,200,2000,2000,0,1.483074495,1348.5499,305.0333,298.822,301.552,316.616,328.541,446.425,157782.0,157782,157782,157782,122880.0,122880,122880,122880,1025.0,1025,1025,1025,
single_call_api,1,native-summary,insert-values,8192,8192,1000,100,1000,1000,0,0.470135817,2127.0449,469.9968,459.14,466.637,479.694,496.753,2117.236,131189.0,131189,131189,131189,131128.0,131128,131128,131128,61.0,61,61,61,
single_call_api,2,native-summary,insert-values,8192,8192,1000,100,1000,1000,0,0.467023701,2141.219,466.8822,458.21,465.356,479.21,492.39,964.346,131189.0,131189,131189,131189,131128.0,131128,131128,131128,61.0,61,61,61,
