mode,workload,target_sql_bytes,repeat_count,actual_sql_bytes,iterations,warmup,total_operations,ok_operations,error_operations,wall_total_s,throughput_ops_s,avg_us,min_us,p50_us,p95_us,p99_us,max_us,avg_alloc_bytes,p50_alloc_bytes,p95_alloc_bytes,max_alloc_bytes,avg_peak_live_bytes,p50_peak_live_bytes,p95_peak_live_bytes,max_peak_live_bytes,avg_retained_bytes,p50_retained_bytes,p95_retained_bytes,max_retained_bytes,error_message
native-parse,insert-values,64,3,64,10000,1000,10000,10000,0,0.172502187,57970.2795,17.0572,16.705,16.785,17.065,23.339,102.637,104.0,104,104,104,104.0,104,104,104,104.0,104,104,104,
native-parse,insert-values,128,3,128,10000,1000,10000,10000,0,0.463733199,21564.1236,46.2047,45.037,45.264,51.241,60.499,135.745,8460.0,8460,8460,8460,8460.0,8460,8460,8460,268.0,268,268,268,
native-parse,insert-values,256,3,256,10000,1000,10000,10000,0,0.969587878,10313.6603,96.7759,94.252,95.432,102.166,109.416,225.565,8761.0,8761,8761,8761,8761.0,8761,8761,8761,569.0,569,569,569,
native-parse,insert-values,512,3,512,10000,1000,10000,10000,0,1.929899375,5181.6173,192.8129,182.707,190.788,198.214,206.43,884.663,25724.0,25724,25724,25724,25724.0,25724,25724,25724,1148.0,1148,1148,1148,
native-parse,insert-values,1024,3,1024,10000,1000,10000,10000,0,3.819594251,2618.0791,381.7763,358.842,378.897,391.959,403.376,1976.726,59650.0,59650,59650,59650,59650.0,59650,59650,59650,2306.0,2306,2306,2306,
native-parse,insert-values,2048,3,2048,10000,1000,10000,10000,0,7.357887202,1359.0858,735.5947,703.114,735.377,750.701,769.518,3086.665,127398.0,127398,127398,127398,127398.0,127398,127398,127398,4518.0,4518,4518,4518,
native-parse,insert-values,4096,3,4096,5000,500,5000,5000,0,7.070329102,707.1807,1408.3166,1366.216,1404.737,1440.743,1466.535,3766.121,271009.0,271009,271009,271009,271009.0,271009,271009,271009,8865.0,8865,8865,8865,
native-parse,insert-values,8192,3,8192,5000,500,5000,5000,0,14.034751934,356.2585,2790.1614,2734.69,2779.928,2843.85,2907.865,4815.705,541889.0,541889,541889,541889,533641.0,533641,533641,533641,17545.0,17545,17545,17545,
native-parse,insert-values,16384,3,16384,2000,200,2000,2000,0,11.155646569,179.2814,5540.6068,5469.167,5524.877,5598.972,5671.697,7625.661,1091719.0,1091719,1091719,1091719,1075279.0,1075279,1075279,1075279,34895.0,34895,34895,34895,
native-parse,insert-values,32768,3,32768,1000,100,1000,1000,0,10.587459577,94.4514,10511.0053,10393.396,10481.665,10609.002,11257.453,12877.156,2221581.0,2221581,2221581,2221581,2188757.0,2188757,2188757,2188757,68605.0,68605,68605,68605,
native-parse,insert-values,65536,3,65536,500,50,500,500,0,10.154091324,49.2412,20176.8685,20031.632,20153.184,20299.323,20575.159,22147.799,4465357.0,4465357,4465357,4465357,4383333.0,4383333,4383333,4383333,135853.0,135853,135853,135853,
sqlparser-parse,insert-values,64,3,64,10000,1000,10000,10000,0,0.210220472,47569.1064,20.7597,20.389,20.492,20.731,26.966,61.68,402.0,402,402,402,386.0,386,386,386,282.0,282,282,282,
sqlparser-parse,insert-values,128,3,128,10000,1000,10000,10000,0,0.534105931,18722.8777,53.1611,52.145,52.478,57.813,61.978,456.642,8986.0,8986,8986,8986,8460.0,8460,8460,8460,510.0,510,510,510,
sqlparser-parse,insert-values,256,3,256,10000,1000,10000,10000,0,1.107254593,9031.3466,110.4715,108.413,108.812,115.817,121.791,1267.32,9716.0,9716,9716,9716,8761.0,8761,8761,8761,939.0,939,939,939,
sqlparser-parse,insert-values,512,3,512,10000,1000,10000,10000,0,2.185962516,4574.6439,218.3787,206.6,215.255,227.844,243.12,1162.627,35706.0,35706,35706,35706,25724.0,25724,25724,25724,1774.0,1774,1774,1774,
sqlparser-parse,insert-values,1024,3,1024,10000,1000,10000,10000,0,4.320656726,2314.463,431.8499,410.223,428.735,442.561,454.641,2202.976,87686.0,87686,87686,87686,59650.0,59650,59650,59650,3444.0,3444,3444,3444,
sqlparser-parse,insert-values,2048,3,2048,10000,1000,10000,10000,0,8.288436438,1206.5002,828.6209,798.553,829.148,844.468,861.258,3190.199,158670.0,158670,158670,158670,127398.0,127398,127398,127398,6680.0,6680,6680,6680,
sqlparser-parse,insert-values,4096,3,4096,5000,500,5000,5000,0,7.98351702,626.2904,1596.3197,1551.237,1589.717,1642.805,1692.946,3790.782,349636.0,349636,349636,349636,271009.0,271009,271009,271009,13075.0,13075,13075,13075,
sqlparser-parse,insert-values,8192,3,8192,5000,500,5000,5000,0,15.768148187,317.0949,3153.2146,3094.243,3147.411,3207.805,3267.329,5177.64,698884.0,698884,698884,698884,533641.0,533641,533641,533641,25851.0,25851,25851,25851,
sqlparser-parse,insert-values,16384,3,16384,2000,200,2000,2000,0,12.521730375,159.7223,6260.2692,6185.129,6243.104,6327.808,6434.363,8565.959,1413520.0,1413520,1413520,1413520,1075279.0,1075279,1075279,1075279,51393.0,51393,51393,51393,
sqlparser-parse,insert-values,32768,3,32768,1000,100,1000,1000,0,11.866791907,84.2688,11866.1524,11759.167,11848.573,11957.186,12143.316,14084.894,2888436.0,2888436,2888436,2888436,2188757.0,2188757,2188757,2188757,101487.0,101487,101487,101487,
sqlparser-parse,insert-values,65536,3,65536,500,50,500,500,0,11.429167048,43.7477,22857.5463,22685.819,22823.334,23001.199,23651.557,24975.981,5822100.0,5822100,5822100,5822100,4383333.0,4383333,4383333,4383333,201503.0,201503,201503,201503,
