series,repeat_index,mode,workload,target_sql_bytes,actual_sql_bytes,iterations,warmup,total_operations,ok_operations,error_operations,wall_total_s,throughput_ops_s,avg_us,min_us,p50_us,p95_us,p99_us,max_us,avg_alloc_bytes,p50_alloc_bytes,p95_alloc_bytes,max_alloc_bytes,avg_peak_live_bytes,p50_peak_live_bytes,p95_peak_live_bytes,max_peak_live_bytes,avg_retained_bytes,p50_retained_bytes,p95_retained_bytes,max_retained_bytes,error_message
single_call_parse,1,native-parse,insert-values,64,64,10000,1000,10000,10000,0,0.172502187,57970.2795,17.0572,16.705,16.785,17.1,23.339,73.632,104.0,104,104,104,104.0,104,104,104,104.0,104,104,104,
single_call_parse,2,native-parse,insert-values,64,64,10000,1000,10000,10000,0,0.174395751,57340.8466,17.2309,16.683,16.775,17.065,23.59,380.079,104.0,104,104,104,104.0,104,104,104,104.0,104,104,104,
single_call_parse,3,native-parse,insert-values,64,64,10000,1000,10000,10000,0,0.172146012,58090.2217,17.019,16.728,16.803,17.033,22.508,102.637,104.0,104,104,104,104.0,104,104,104,104.0,104,104,104,
single_call_parse,1,sqlparser-parse,insert-values,64,64,10000,1000,10000,10000,0,0.210220472,47569.1064,20.7597,20.389,20.492,20.713,26.966,43.465,402.0,402,402,402,386.0,386,386,386,282.0,282,282,282,
single_call_parse,2,sqlparser-parse,insert-values,64,64,10000,1000,10000,10000,0,0.209820683,47659.7438,20.7097,20.26,20.415,20.731,26.781,61.68,402.0,402,402,402,386.0,386,386,386,282.0,282,282,282,
single_call_parse,3,sqlparser-parse,insert-values,64,64,10000,1000,10000,10000,0,0.211826321,47208.4864,20.9149,20.518,20.612,20.859,27.174,355.419,402.0,402,402,402,386.0,386,386,386,282.0,282,282,282,
single_call_parse,1,native-parse,insert-values,128,128,10000,1000,10000,10000,0,0.462654468,21614.4027,46.083,45.137,45.394,50.625,56.36,135.745,8460.0,8460,8460,8460,8460.0,8460,8460,8460,268.0,268,268,268,
single_call_parse,2,native-parse,insert-values,128,128,10000,1000,10000,10000,0,0.463733199,21564.1236,46.2047,45.037,45.207,51.326,60.499,116.787,8460.0,8460,8460,8460,8460.0,8460,8460,8460,268.0,268,268,268,
single_call_parse,3,native-parse,insert-values,128,128,10000,1000,10000,10000,0,0.465367213,21488.4068,46.3673,44.953,45.264,51.241,73.021,392.403,8460.0,8460,8460,8460,8460.0,8460,8460,8460,268.0,268,268,268,
single_call_parse,1,sqlparser-parse,insert-values,128,128,10000,1000,10000,10000,0,0.534105931,18722.8777,53.1611,52.145,52.478,57.813,61.978,156.959,8986.0,8986,8986,8986,8460.0,8460,8460,8460,510.0,510,510,510,
single_call_parse,2,sqlparser-parse,insert-values,128,128,10000,1000,10000,10000,0,0.532882761,18765.8538,53.0449,50.887,52.32,57.672,60.841,456.642,8986.0,8986,8986,8986,8460.0,8460,8460,8460,510.0,510,510,510,
single_call_parse,3,sqlparser-parse,insert-values,128,128,10000,1000,10000,10000,0,0.539981881,18519.1399,53.747,52.477,52.821,58.264,62.594,1024.211,8986.0,8986,8986,8986,8460.0,8460,8460,8460,510.0,510,510,510,
